id,분류,접수일,만족도,내용,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
35,쿠폰문의,2026-09-15 02:00:00,2,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 35)",-2.670,4.734,-0.750,0.468,1.776,4.411,-1.657,-0.038
36,교환요청,2026-09-18 18:00:00,1,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 36)",-5.160,4.104,-2.041,-3.869,0.573,3.556,-5.019,-0.569
37,배송문의,2026-09-04 14:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 37)",1.994,-1.138,1.805,-5.629,5.317,-1.254,-0.567,-7.409
38,결제오류,2026-09-12 04:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 38)",3.293,0.073,-3.370,-4.301,-1.996,-0.192,1.457,-3.090
39,환불요청,2026-09-15 14:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 39)",-2.511,0.457,-1.995,0.897,1.079,2.481,-3.531,3.179
40,배송문의,2026-09-05 13:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 40)",-0.239,-1.977,2.160,-4.380,3.798,-1.034,-0.987,-8.025
41,배송문의,2026-09-16 21:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 41)",1.943,-2.737,2.343,-3.478,5.921,-1.270,-1.503,-6.693
42,쿠폰문의,2026-09-13 11:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 42)",-2.890,3.904,-1.507,-0.242,2.367,5.554,-1.584,-0.398
43,환불요청,2026-09-13 22:00:00,,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 43)",-3.794,-0.047,-1.436,1.893,1.142,3.626,-2.915,4.988
44,배송문의,2026-09-11 16:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 44)",1.784,-2.186,2.789,-4.972,5.838,0.822,-1.159,-7.866
45,교환요청,2026-09-08 05:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 45)",-5.615,4.622,-3.015,-2.574,0.456,2.560,-3.746,-1.012
46,교환요청,2026-09-18 05:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 46)",-5.769,4.825,-2.537,-3.980,1.034,3.300,-5.597,-0.943
47,환불요청,2026-09-07 12:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 47)",-4.015,0.128,-2.546,0.331,0.256,3.543,-2.857,4.653
48,환불요청,2026-09-10 20:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 48)",-3.472,2.167,-2.157,1.761,1.205,4.039,-2.005,3.975
49,환불요청,2026-09-13 19:00:00,,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 49)",-4.052,0.331,-1.235,0.546,-0.268,3.117,-2.815,5.049
50,환불요청,2026-09-04 00:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 50)",-4.657,0.365,-2.825,1.874,-0.576,3.422,-1.975,4.398
51,쿠폰문의,2026-09-15 02:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 51)",-4.281,4.742,-0.979,0.005,2.668,4.550,-1.956,-0.711
52,교환요청,2026-09-05 04:00:00,1,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 52)",-5.226,5.076,-2.712,-3.538,0.257,2.348,-4.244,-0.642
53,쿠폰문의,2026-09-01 21:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 53)",-2.840,3.980,-0.641,-0.031,0.694,5.166,-2.692,-0.808
54,결제오류,2026-09-02 07:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 54)",3.131,2.892,-3.352,-3.027,-3.206,-0.453,0.466,-3.091
55,배송문의,2026-09-01 10:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 55)",1.678,-1.165,2.277,-4.487,4.862,-1.121,-1.202,-7.894
56,쿠폰문의,2026-09-03 14:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 56)",-3.476,2.655,-0.721,-1.439,1.705,5.192,-2.714,-0.997
57,교환요청,2026-09-02 20:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 57)",-5.299,5.991,-3.859,-4.035,0.081,2.443,-4.820,-1.200
58,쿠폰문의,2026-09-20 04:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 58)",-3.915,3.186,-1.803,0.094,1.590,5.021,-1.946,-1.056
59,교환요청,2026-09-14 17:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 59)",-5.263,5.184,-2.933,-4.354,1.541,2.868,-4.207,-0.484
60,쿠폰문의,2026-09-17 21:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 60)",-3.578,3.044,-1.729,0.238,1.606,5.007,-2.689,-1.482
61,결제오류,2026-09-10 21:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 61)",2.378,1.447,-3.413,-3.087,-4.578,-1.184,1.656,-4.012
62,교환요청,2026-09-17 06:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 62)",-6.208,4.799,-3.250,-3.679,0.385,3.751,-5.053,-1.393
63,교환요청,2026-09-04 06:00:00,1,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 63)",-5.606,4.347,-1.981,-4.743,1.073,2.628,-4.901,-1.604
64,교환요청,2026-09-01 10:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 64)",-5.205,3.847,-2.780,-3.277,0.289,2.616,-2.773,-1.495
65,환불요청,2026-09-01 20:00:00,1,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 65)",-3.316,0.382,-1.997,0.889,-0.128,3.748,-1.675,4.047
66,결제오류,2026-09-21 13:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 66)",2.001,2.536,-3.637,-4.908,-2.425,-1.447,0.933,-2.804
67,결제오류,2026-09-19 14:00:00,2,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 67)",2.960,0.779,-3.761,-4.452,-4.407,-1.556,0.367,-3.728
68,배송문의,2026-09-15 07:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 68)",1.243,-1.022,2.707,-4.469,5.580,-1.107,-0.485,-8.484
69,쿠폰문의,2026-09-18 04:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 69)",-3.811,3.955,-1.322,0.095,2.415,4.792,-2.126,-0.468
70,결제오류,2026-09-11 10:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 70)",3.069,1.747,-4.151,-2.736,-3.811,-0.541,0.345,-3.463
71,교환요청,2026-09-03 04:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 71)",-5.389,4.165,-1.876,-4.448,0.235,4.329,-4.678,-0.589
72,배송문의,2026-09-12 06:00:00,,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 72)",0.920,-1.598,2.228,-2.971,5.147,-0.834,-1.198,-6.713
73,배송문의,2026-09-04 01:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 73)",1.558,-1.103,1.943,-3.616,5.890,-0.814,-0.583,-8.090
74,배송문의,2026-09-06 11:00:00,1,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 74)",1.283,-0.823,2.372,-4.624,6.158,-0.937,-0.734,-7.992
75,쿠폰문의,2026-09-16 08:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 75)",-2.536,4.508,-1.446,0.935,0.623,3.843,-1.712,-0.814
76,쿠폰문의,2026-09-18 05:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 76)",-3.246,3.470,-1.386,-0.214,2.706,3.666,-1.770,0.284
77,쿠폰문의,2026-09-04 17:00:00,,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 77)",-3.670,3.496,-1.759,0.465,1.515,4.764,-1.667,-0.172
78,배송문의,2026-09-08 12:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 78)",2.115,-1.903,1.605,-3.446,4.962,-1.345,-0.751,-7.764
79,결제오류,2026-09-14 02:00:00,1,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 79)",1.898,0.847,-2.907,-3.259,-2.408,-1.730,1.650,-2.965
80,교환요청,2026-09-21 21:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 80)",-4.775,4.398,-3.038,-4.121,1.313,2.403,-4.691,-0.139
